,brown,convex,scaly,poisonous,free,closed,urban,smooth,white,grasses,edible,paths,flat
M62,0.0,0.06492929462752244,0.13417030022640367,0.05495615497273496,0.05282214049666955,0.05282214049666955,0.0,0.0,0.2597171785100898,0.38058279066991013,0.0,0.0,0.0
M67,0.0,0.08516621088800456,0.17598799046779054,0.07208468089560703,0.06928554488235975,0.06928554488235975,0.1875251844318602,0.0,0.3406648435520183,0.0,0.0,0.0,0.0
M79,0.1508194224044748,0.05588016406668629,0.0,0.04729697086604325,0.04546037184356332,0.04546037184356332,0.0,0.32754134948783453,0.0,0.32754134948783453,0.0,0.0,0.0
M78,0.0,0.06436317138116729,0.0,0.05447698825701997,0.05236158040851596,0.05236158040851596,0.1417195324063996,0.37726446161371213,0.2574526855246692,0.0,0.0,0.0,0.0
M95,0.1895908026425804,0.07024536354999196,0.0,0.059455675708713164,0.05714693935862476,0.05714693935862476,0.1546713728114287,0.41174290657003626,0.0,0.0,0.0,0.0,0.0
M58,0.19141226540170694,0.07092023443995188,0.1465500156981817,0.060026886429975244,0.057695969271410304,0.057695969271410304,0.0,0.0,0.0,0.4156986594873636,0.0,0.0,0.0
M80,0.0,0.06492929462752244,0.13417030022640367,0.05495615497273496,0.05282214049666955,0.05282214049666955,0.0,0.0,0.2597171785100898,0.38058279066991013,0.0,0.0,0.0
M93,0.25850498768025926,0.09577878560554025,0.19791788119269824,0.08106716413652923,0.07791922735152756,0.07791922735152756,0.21089272668191797,0.0,0.0,0.0,0.0,0.0,0.0
M77,0.0,0.08516621088800456,0.17598799046779054,0.07208468089560703,0.06928554488235975,0.06928554488235975,0.1875251844318602,0.0,0.3406648435520183,0.0,0.0,0.0,0.0
M98,0.1895908026425804,0.07024536354999196,0.0,0.059455675708713164,0.05714693935862476,0.05714693935862476,0.1546713728114287,0.41174290657003626,0.0,0.0,0.0,0.0,0.0
M56,0.0,0.08516621088800456,0.17598799046779054,0.07208468089560703,0.06928554488235975,0.06928554488235975,0.1875251844318602,0.0,0.3406648435520183,0.0,0.0,0.0,0.0
M87,0.25850498768025926,0.09577878560554025,0.19791788119269824,0.08106716413652923,0.07791922735152756,0.07791922735152756,0.21089272668191797,0.0,0.0,0.0,0.0,0.0,0.0
M90,0.25850498768025926,0.09577878560554025,0.19791788119269824,0.08106716413652923,0.07791922735152756,0.07791922735152756,0.21089272668191797,0.0,0.0,0.0,0.0,0.0,0.0
M91,0.1895908026425804,0.07024536354999196,0.0,0.059455675708713164,0.05714693935862476,0.05714693935862476,0.1546713728114287,0.41174290657003626,0.0,0.0,0.0,0.0,0.0
M89,0.25850498768025926,0.09577878560554025,0.19791788119269824,0.08106716413652923,0.07791922735152756,0.07791922735152756,0.21089272668191797,0.0,0.0,0.0,0.0,0.0,0.0
M100,0.1895908026425804,0.07024536354999196,0.0,0.059455675708713164,0.05714693935862476,0.05714693935862476,0.1546713728114287,0.41174290657003626,0.0,0.0,0.0,0.0,0.0
M72,0.0,0.08516621088800456,0.17598799046779054,0.07208468089560703,0.06928554488235975,0.06928554488235975,0.1875251844318602,0.0,0.3406648435520183,0.0,0.0,0.0,0.0
M69,0.027613770991742878,0.0,0.02114179341555312,0.008659678583010559,0.00832341270954495,0.00832341270954495,0.0,0.0,0.0,0.05997007328954688,0.0,0.0,0.8659678583010566
M99,0.1508194224044748,0.05588016406668629,0.0,0.04729697086604325,0.04546037184356332,0.04546037184356332,0.0,0.32754134948783453,0.0,0.32754134948783453,0.0,0.0,0.0
M53,0.0,0.06492929462752244,0.13417030022640367,0.05495615497273496,0.05282214049666955,0.05282214049666955,0.0,0.0,0.2597171785100898,0.38058279066991013,0.0,0.0,0.0
