,yellow,bell,scaly,edible,free,closed,grasses,convex,meadows,white,smooth,flat,fibrous,crowded,brown,gray,sunken,urban,paths,woods
M26,0.009420376496266637,0.0,0.0,0.002860247590911446,0.002860247590911446,0.0,0.0,0.012981955511868391,0.0,0.0,0.0,0.0,0.06867454465778376,0.14015213195466075,0.0,0.0,0.0,0.0,0.0,0.7630504961975976
M39,0.0,0.0,0.04476076312361021,0.008221364655356979,0.008221364655356979,0.01119019078090255,0.10071171702812293,0.037314738256166546,0.0,0.0,0.0,0.0,0.0,0.0,0.7895798615004839,0.0,0.0,0.0,0.0,0.0
M34,0.0,0.0,0.1288079604919683,0.023658604988320713,0.023658604988320713,0.03220199012299207,0.2898179111069285,0.10738054929481666,0.0,0.3944743790066529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M22,0.13041253249707588,0.26335383986251604,0.0,0.03959630828420173,0.03959630828420173,0.05389497516460789,0.0,0.0,0.17971783778897604,0.0,0.29342819811842064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M20,0.0,0.0,0.0,0.002706260256538439,0.002706260256538439,0.0036835209047328737,0.0,0.0,0.0,0.0,0.0,0.4061081797467994,0.06497730875948787,0.0,0.25990923503795155,0.0,0.0,0.25990923503795155,0.0,0.0
M50,0.1414219939494364,0.28558624262919413,0.23377921448784383,0.04293903939572643,0.04293903939572643,0.058444803621960945,0.0,0.0,0.19488966652011178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M31,0.019757322645476638,0.0,0.032660063964971585,0.005998787258872334,0.005998787258872334,0.008165015991242894,0.0,0.027227009846034916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9001930130345294,0.0
M37,0.019757322645476638,0.0,0.032660063964971585,0.005998787258872334,0.005998787258872334,0.008165015991242894,0.0,0.027227009846034916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9001930130345294,0.0
M38,0.010548681936480547,0.0,0.017437617078671926,0.003202827626694844,0.003202827626694844,0.0043594042696679805,0.0,0.0,0.0,0.0,0.0,0.4806243207308949,0.0,0.0,0.0,0.0,0.0,0.0,0.4806243207308949,0.0
M3,0.0,0.0,0.0,0.005839782773218953,0.005839782773218953,0.0,0.07153733897193212,0.026505327861056152,0.0,0.0,0.04327567419289721,0.0,0.0,0.28614935588772855,0.0,0.5608527375399479,0.0,0.0,0.0,0.0
M17,0.0,0.17214909311283963,0.0,0.025883308044037965,0.025883308044037965,0.03523005817105166,0.0,0.0,0.11747792554581311,0.43156821259538286,0.19180809448683675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M19,0.0,0.0,0.15755118259497364,0.028937972313362512,0.028937972313362512,0.0393877956487434,0.0,0.13134229021622565,0.13134229021622565,0.4825004966971067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M6,0.0,0.18137908702737596,0.1484758512854484,0.027271074725898698,0.027271074725898698,0.037118962821362095,0.0,0.0,0.12377665485233035,0.45470729456168574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M41,0.0,0.17214909311283963,0.0,0.025883308044037965,0.025883308044037965,0.03523005817105166,0.0,0.0,0.11747792554581311,0.43156821259538286,0.19180809448683675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M9,0.15552783618067817,0.0,0.2570970353190803,0.0472219044463617,0.0472219044463617,0.06427425882977006,0.0,0.21432853038887412,0.21432853038887412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1,0.10674669109937109,0.0,0.0,0.032410802920217224,0.032410802920217224,0.044114703974740085,0.39703233577266067,0.14710460833920894,0.0,0.0,0.24018005497358483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M32,0.0,0.0,0.0,0.004464487742838457,0.004464487742838457,0.006076663872196786,0.0,0.020263204292164713,0.0,0.0,0.0,0.0,0.10719235070555128,0.0,0.42876940282220516,0.0,0.0,0.42876940282220516,0.0,0.0
M18,0.15552783618067817,0.0,0.2570970353190803,0.0472219044463617,0.0472219044463617,0.06427425882977006,0.0,0.21432853038887412,0.21432853038887412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M21,0.009889937864853099,0.0,0.0,0.0030028174525105838,0.0030028174525105838,0.0,0.0,0.013629044808086787,0.0,0.0,0.022252360195919463,0.0,0.0,0.14713805517301853,0.0,0.0,0.0,0.0,0.0,0.801084967053101
M44,0.0,0.1435062982222158,0.0,0.021576748712294855,0.021576748712294855,0.029368352413956873,0.2643151717256118,0.0,0.0,0.3597623170709717,0.15989436314265404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M43,0.0,0.0,0.0,0.002999737522966742,0.002999737522966742,0.0,0.03674678465634256,0.0,0.0,0.0,0.0,0.4501481120401966,0.07202369792643142,0.14698713862537027,0.0,0.2880947917057257,0.0,0.0,0.0,0.0
M49,0.13041253249707588,0.26335383986251604,0.0,0.03959630828420173,0.03959630828420173,0.05389497516460789,0.0,0.0,0.17971783778897604,0.0,0.29342819811842064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M5,0.0,0.17214909311283963,0.0,0.025883308044037965,0.025883308044037965,0.03523005817105166,0.0,0.0,0.11747792554581311,0.43156821259538286,0.19180809448683675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M14,0.13041253249707588,0.26335383986251604,0.0,0.03959630828420173,0.03959630828420173,0.05389497516460789,0.0,0.0,0.17971783778897604,0.0,0.29342819811842064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M12,0.0,0.0,0.0,0.002056644561546232,0.002056644561546232,0.002799321764326815,0.0,0.0,0.0,0.0,0.0,0.0,0.049380035922724996,0.0,0.0,0.1975201436909,0.5486670658080557,0.1975201436909,0.0,0.0
M35,0.15552783618067817,0.0,0.2570970353190803,0.0472219044463617,0.0472219044463617,0.06427425882977006,0.0,0.21432853038887412,0.21432853038887412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M7,0.13041253249707588,0.26335383986251604,0.0,0.03959630828420173,0.03959630828420173,0.05389497516460789,0.0,0.0,0.17971783778897604,0.0,0.29342819811842064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
